page,id,role,source,basename,notes
home,HOME-01,キービジュアル1,DSC05191.jpg,home-kv-01,1600×1067と1024×683に中央より少し下寄せでトリミング
home,HOME-02,キービジュアル2,DSC05853.jpg,home-kv-02,
home,HOME-03,キービジュアル3,DSC05239.jpg,home-kv-03,
home,HOME-04,サービス・はじまりの家そら,DSC05517.jpg,home-service-home-sora,
home,HOME-05,サービス・訪問看護,DSC05205.jpg,home-service-visiting-nursing,
home,HOME-06,ご本人・ご家族向け,DSC05897.jpg,home-target-family,
home,HOME-07,医療関係者向け,DSC05785.jpg,home-target-medical,
home,HOME-08,支援者向け,DSC05530.jpg,home-target-support,
about,ABOUT-01,キービジュアル,DSC05943.jpg,about-kv,
about,ABOUT-02,冨澤様プロフィール,DSC05614-Edit.jpg,about-tomizawa,1280×1600と819×1024に4:5でトリミング
corporate,CORPORATE-01,キービジュアル,DSC05237.jpg,corporate-kv,
donation,DONATION-01,キービジュアル,DSC05219.jpg,donation-kv,人物の後ろ姿を使用しタイトルや装飾が顔に重ならない構図
home-sora,HOME-SORA-01,キービジュアル,DSC05513.jpg,home-sora-kv,
home-sora,HOME-SORA-02,空気感・メイン,DSC05517.jpg,home-sora-air-main,
home-sora,HOME-SORA-03,空気感・素材,DSC05704.jpg,home-sora-air-material,
home-sora,HOME-SORA-05,食事・メイン,DSC05729.jpg,home-sora-food-main,
home-sora,HOME-SORA-06,食事・料理,DSC05728.jpg,home-sora-food-scene,1600×1067と1024×683に中央トリミング
home-sora,HOME-SORA-07,季節・メイン,DSC05574.jpg,home-sora-season-main,
home-sora,HOME-SORA-09,音・メイン,DSC05912.jpg,home-sora-sound-main,1600×1067と1024×683に中央トリミング
home-sora,HOME-SORA-10,音・暮らし,DSC05840.jpg,home-sora-sound-life,
home-sora,HOME-SORA-11,寝具・メイン,DSC05806.jpg,home-sora-bedding-main,1600×1067と1024×683に中央トリミング
home-sora,HOME-SORA-14,ギャラリー・玄関,DSC05232.jpg,home-sora-gallery-entrance,
home-sora,HOME-SORA-15,ギャラリー・キッチン,DSC05846.jpg,home-sora-gallery-kitchen,
home-sora,HOME-SORA-16,ギャラリー・カウンター,DSC05833.jpg,home-sora-gallery-counter,1600×1200と1024×768に中央トリミング
home-sora,HOME-SORA-17,ギャラリー・リビング,DSC05508.jpg,home-sora-gallery-living,
home-sora,HOME-SORA-18,ギャラリー・浴室,DSC05876.jpg,home-sora-gallery-bath,
home-sora,HOME-SORA-19,居室・とわ,DSC05706.jpg,home-sora-room-towa,
home-sora,HOME-SORA-20,居室・きんもくせい,DSC05767.jpg,home-sora-room-kinmokusei,
home-sora,HOME-SORA-21,居室・はるかぜ,DSC05808.jpg,home-sora-room-harukaze,
home-sora,HOME-SORA-22,居室・ともしび,DSC05779.jpg,home-sora-room-tomoshibi,
services,SERVICES-01,キービジュアル,DSC05871.jpg,services-kv,
services,SERVICES-02,はじまりの家そら,DSC05205.jpg,home-service-visiting-nursing,トップページと画像を共用
services,SERVICES-03,訪問看護,DSC05236.jpg,home-service-visiting-nursing-vehicle,トップページと画像を共用
services,SERVICES-04,自費看護,DSC05782.jpg,services-private-nurse,
services,SERVICES-05,リトリート,DSC05502.jpg,services-retreat,1600×1067と1024×683に中央トリミング
services,SERVICES-06,地域とのつながり,DSC05884.jpg,services-community,
services-pricing,PRICING-01,キービジュアル,DSC05799.jpg,pricing-kv,
target,TARGET-01,キービジュアル,DSC05510.jpg,target-kv,1600×1067と1024×683に中央トリミング
recruit,RECRUIT-01,キービジュアル,DSC05946.jpg,recruit-kv,
recruit,RECRUIT-02,訪問の様子,DSC05194.jpg,recruit-visit,
recruit,RECRUIT-03,チーム,DSC05931.jpg,recruit-team,
privacy,PRIVACY-01,キービジュアル,DSC05817.jpg,privacy-kv,
sitemap,SITEMAP-01,キービジュアル,DSC05907.jpg,sitemap-kv,
common,COMMON-01,OGP画像,DSC05239.jpg,common-ogp,1200×630と1024×538に中央トリミング
home,HOME-09,サービス・訪問看護の訪問車と施設外観,DSC05236.jpg,home-service-visiting-nursing-vehicle,1600×1067と1024×683に中央トリミング
